1_tensor(0.7943, device='xpu:0')
2_tensor(0.8097, device='xpu:0')
3_tensor(0.8214, device='xpu:0')
4_tensor(0.8335, device='xpu:0')
6_tensor(0.8402, device='xpu:0')
7_tensor(0.8424, device='xpu:0')
1_tensor(0.7795, device='xpu:0')
2_tensor(0.8058, device='xpu:0')
3_tensor(0.8181, device='xpu:0')
4_tensor(0.8332, device='xpu:0')
5_tensor(0.8335, device='xpu:0')
6_tensor(0.8363, device='xpu:0')
7_tensor(0.8377, device='xpu:0')
8_tensor(0.8388, device='xpu:0')
12_tensor(0.8405, device='xpu:0')
13_tensor(0.8427, device='xpu:0')
14_tensor(0.8438, device='xpu:0')
15_tensor(0.8447, device='xpu:0')
19_tensor(0.8475, device='xpu:0')
